acquisition,roi,area_nm2
ExampleAcq_folder,2,7.66275359622506
ExampleAcq_folder,2,7.54593216762313
ExampleAcq_folder,2,7.42912329067227
ExampleAcq_folder,2,6.84175038128255
ExampleAcq_folder,2,6.6832811930473
ExampleAcq_folder,2,6.25545876508651
ExampleAcq_folder,2,6.1363160396021
ExampleAcq_folder,2,6.08401981199924
ExampleAcq_folder,2,5.99569203587064
ExampleAcq_folder,2,4.22354605846572
ExampleAcq_folder,2,3.68963823913204
ExampleAcq_folder,2,3.30520098902406
ExampleAcq_folder,2,2.97432476022429
ExampleAcq_folder,2,2.91606488890941
ExampleAcq_folder,2,2.11831420124207
ExampleAcq_folder,3,6184.63109531279
ExampleAcq_folder,3,2605.69504752112
ExampleAcq_folder,3,2574.43281133816
ExampleAcq_folder,3,1668.7050024926
ExampleAcq_folder,3,1145.47836976883
ExampleAcq_folder,3,685.290528225672
ExampleAcq_folder,3,211.54939162506
ExampleAcq_folder,3,66.5026819291796
ExampleAcq_folder,3,61.0593130649719
ExampleAcq_folder,3,49.3331543937454
ExampleAcq_folder,3,25.9159892773415
ExampleAcq_folder,3,21.6298821304004
ExampleAcq_folder,3,2.92254393726986
ExampleAcq_folder,4,12683.8246815318
ExampleAcq_folder,4,10607.22434503
ExampleAcq_folder,4,9779.9311844799
ExampleAcq_folder,4,6235.9435217179
ExampleAcq_folder,4,5141.66039953626
ExampleAcq_folder,4,4317.65635227565
ExampleAcq_folder,4,2813.18574560484
ExampleAcq_folder,4,2634.47892291282
ExampleAcq_folder,4,2336.20170170835
ExampleAcq_folder,4,1969.10707699984
ExampleAcq_folder,4,1737.4004184371
ExampleAcq_folder,4,1585.78541248242
ExampleAcq_folder,4,1431.16592913021
ExampleAcq_folder,4,1367.39605729196
ExampleAcq_folder,4,1299.34655539502
ExampleAcq_folder,4,982.961845106524
ExampleAcq_folder,4,970.339548394607
ExampleAcq_folder,4,907.186839651383
ExampleAcq_folder,4,845.494696479634
ExampleAcq_folder,4,740.507760267714
ExampleAcq_folder,4,726.497522652296
ExampleAcq_folder,4,668.212910648198
ExampleAcq_folder,4,629.934714270249
ExampleAcq_folder,4,621.670758252305
ExampleAcq_folder,4,618.663053396736
ExampleAcq_folder,4,595.00348243124
ExampleAcq_folder,4,512.044929806328
ExampleAcq_folder,4,511.740899708634
ExampleAcq_folder,4,489.541718162281
ExampleAcq_folder,4,484.622593180076
ExampleAcq_folder,4,471.948965042329
ExampleAcq_folder,4,433.070428808301
ExampleAcq_folder,4,389.521721461808
ExampleAcq_folder,4,383.331205467828
ExampleAcq_folder,4,374.157381133666
ExampleAcq_folder,4,370.52167168054
ExampleAcq_folder,4,349.17456502705
ExampleAcq_folder,4,293.229146554446
ExampleAcq_folder,4,289.527565230689
ExampleAcq_folder,4,279.6469077106
ExampleAcq_folder,4,245.46733815221
ExampleAcq_folder,4,241.531063946908
ExampleAcq_folder,4,231.281809968386
ExampleAcq_folder,4,215.8520338185
ExampleAcq_folder,4,214.168521810789
ExampleAcq_folder,4,212.177326704108
ExampleAcq_folder,4,210.951279468071
ExampleAcq_folder,4,208.710404509008
ExampleAcq_folder,4,202.658601548182
ExampleAcq_folder,4,197.030841154969
ExampleAcq_folder,4,189.641608593947
ExampleAcq_folder,4,180.668043791215
ExampleAcq_folder,4,176.427373783992
ExampleAcq_folder,4,175.56849311203
ExampleAcq_folder,4,169.346036837271
ExampleAcq_folder,4,164.071494305405
ExampleAcq_folder,4,162.197847136217
ExampleAcq_folder,4,149.984525370325
ExampleAcq_folder,4,142.158537575658
ExampleAcq_folder,4,134.289063655947
ExampleAcq_folder,4,132.604270872658
ExampleAcq_folder,4,131.50662201981
